Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Score	timestamp	Detection threshold
1	Spectrogram 1	1	100.2	102.2	50.0	350.0	2009/04/02	0	0.5532225966453552	2009-04-02 00:01:40.200	0.5
2	Spectrogram 1	1	126.9	128.9	50.0	350.0	2009/04/02	0	0.6389196515083313	2009-04-02 00:02:06.900	0.5
3	Spectrogram 1	1	167.8	169.8	50.0	350.0	2009/04/02	0	0.7539043426513672	2009-04-02 00:02:47.800	0.5
4	Spectrogram 1	1	171.7	173.7	50.0	350.0	2009/04/02	0	0.9850867986679077	2009-04-02 00:02:51.700	0.5
5	Spectrogram 1	1	246.6	248.6	50.0	350.0	2009/04/02	0	0.9549729824066162	2009-04-02 00:04:06.600	0.5
6	Spectrogram 1	1	291.6	293.6	50.0	350.0	2009/04/02	0	0.9725908637046814	2009-04-02 00:04:51.600	0.5
7	Spectrogram 1	1	300.9	302.9	50.0	350.0	2009/04/02	0	0.525245726108551	2009-04-02 00:05:00.900	0.5
8	Spectrogram 1	1	341.2	343.2	50.0	350.0	2009/04/02	0	0.9828848838806152	2009-04-02 00:05:41.200	0.5
9	Spectrogram 1	1	369.5	371.5	50.0	350.0	2009/04/02	0	0.9147327542304993	2009-04-02 00:06:09.500	0.5
10	Spectrogram 1	1	420.4	422.4	50.0	350.0	2009/04/02	0	0.6654464602470398	2009-04-02 00:07:00.400	0.5
11	Spectrogram 1	1	454.3	456.3	50.0	350.0	2009/04/02	0	0.9891341328620911	2009-04-02 00:07:34.300	0.5
12	Spectrogram 1	1	521.1	523.1	50.0	350.0	2009/04/02	0	0.9693701267242432	2009-04-02 00:08:41.100	0.5
13	Spectrogram 1	1	579.7	581.7	50.0	350.0	2009/04/02	0	0.6297307014465332	2009-04-02 00:09:39.700	0.5
14	Spectrogram 1	1	653.3	655.3	50.0	350.0	2009/04/02	0	0.9772802591323853	2009-04-02 00:10:53.300	0.5
15	Spectrogram 1	1	833.4	835.4	50.0	350.0	2009/04/02	0	0.6642811894416809	2009-04-02 00:13:53.400	0.5
16	Spectrogram 1	1	839.7	841.7	50.0	350.0	2009/04/02	0	0.9364116787910461	2009-04-02 00:13:59.700	0.5
17	Spectrogram 1	1	866.1	868.1	50.0	350.0	2009/04/02	0	0.9696821570396423	2009-04-02 00:14:26.100	0.5
18	Spectrogram 1	1	899.4	901.4	50.0	350.0	2009/04/02	0	0.6052886247634888	2009-04-02 00:14:59.400	0.5
19	Spectrogram 1	1	915.9	917.9	50.0	350.0	2009/04/02	0	0.6274212002754211	2009-04-02 00:15:15.900	0.5
20	Spectrogram 1	1	933.1	935.1	50.0	350.0	2009/04/02	0	0.8591602444648743	2009-04-02 00:15:33.100	0.5
21	Spectrogram 1	1	942.6	944.6	50.0	350.0	2009/04/02	0	0.7745468020439148	2009-04-02 00:15:42.600	0.5
22	Spectrogram 1	1	1026.0	1028.0	50.0	350.0	2009/04/02	0	0.523229718208313	2009-04-02 00:17:06.000	0.5
23	Spectrogram 1	1	1029.8	1031.8	50.0	350.0	2009/04/02	0	0.7384958267211914	2009-04-02 00:17:09.800	0.5
24	Spectrogram 1	1	1041.2	1043.2	50.0	350.0	2009/04/02	0	0.6748448014259338	2009-04-02 00:17:21.200	0.5
25	Spectrogram 1	1	1062.5	1064.5	50.0	350.0	2009/04/02	0	0.6501514315605164	2009-04-02 00:17:42.500	0.5
26	Spectrogram 1	1	1082.7	1084.7	50.0	350.0	2009/04/02	0	0.5520453453063965	2009-04-02 00:18:02.700	0.5
27	Spectrogram 1	1	1217.5	1219.5	50.0	350.0	2009/04/02	0	0.9590778350830078	2009-04-02 00:20:17.500	0.5
28	Spectrogram 1	1	1263.1	1265.1	50.0	350.0	2009/04/02	0	0.7139455080032349	2009-04-02 00:21:03.100	0.5
29	Spectrogram 1	1	1286.3	1288.3	50.0	350.0	2009/04/02	0	0.638803243637085	2009-04-02 00:21:26.300	0.5
30	Spectrogram 1	1	1318.7	1320.7	50.0	350.0	2009/04/02	0	0.9971777200698853	2009-04-02 00:21:58.700	0.5
31	Spectrogram 1	1	1334.7	1336.7	50.0	350.0	2009/04/02	0	0.8549431562423706	2009-04-02 00:22:14.700	0.5
32	Spectrogram 1	1	1495.3	1497.3	50.0	350.0	2009/04/02	0	0.9954740405082703	2009-04-02 00:24:55.300	0.5
33	Spectrogram 1	1	1553.8	1555.8	50.0	350.0	2009/04/02	0	0.5942901968955994	2009-04-02 00:25:53.800	0.5
34	Spectrogram 1	1	1557.1	1559.1	50.0	350.0	2009/04/02	0	0.6779465675354004	2009-04-02 00:25:57.100	0.5
35	Spectrogram 1	1	1566.8	1568.8	50.0	350.0	2009/04/02	0	0.8785670399665833	2009-04-02 00:26:06.800	0.5
36	Spectrogram 1	1	1572.5	1574.5	50.0	350.0	2009/04/02	0	0.9579513072967529	2009-04-02 00:26:12.500	0.5
37	Spectrogram 1	1	1579.3	1581.3	50.0	350.0	2009/04/02	0	0.9604180455207825	2009-04-02 00:26:19.300	0.5
38	Spectrogram 1	1	1584.1	1586.1	50.0	350.0	2009/04/02	0	0.6112543344497681	2009-04-02 00:26:24.100	0.5
39	Spectrogram 1	1	1816.5	1818.5	50.0	350.0	2009/04/02	0	0.9936394095420837	2009-04-02 00:30:16.500	0.5
40	Spectrogram 1	1	1887.2	1889.2	50.0	350.0	2009/04/02	0	0.9967545866966248	2009-04-02 00:31:27.200	0.5
41	Spectrogram 1	1	1957.9	1959.9	50.0	350.0	2009/04/02	0	0.9537469744682312	2009-04-02 00:32:37.900	0.5
42	Spectrogram 1	1	1996.3	1998.3	50.0	350.0	2009/04/02	0	0.6704539060592651	2009-04-02 00:33:16.300	0.5
43	Spectrogram 1	1	2024.2	2026.2	50.0	350.0	2009/04/02	0	0.5623278617858887	2009-04-02 00:33:44.200	0.5
44	Spectrogram 1	1	2158.8	2160.8	50.0	350.0	2009/04/02	0	0.631218671798706	2009-04-02 00:35:58.800	0.5
45	Spectrogram 1	1	2302.5	2304.5	50.0	350.0	2009/04/02	0	0.9828135967254639	2009-04-02 00:38:22.500	0.5
46	Spectrogram 1	1	2359.5	2361.5	50.0	350.0	2009/04/02	0	0.9928472638130188	2009-04-02 00:39:19.500	0.5
47	Spectrogram 1	1	2824.3	2826.3	50.0	350.0	2009/04/02	0	0.9962978959083557	2009-04-02 00:47:04.300	0.5
48	Spectrogram 1	1	2858.1	2860.1	50.0	350.0	2009/04/02	0	0.5134856104850769	2009-04-02 00:47:38.100	0.5
49	Spectrogram 1	1	3031.5	3033.5	50.0	350.0	2009/04/02	0	0.6087382435798645	2009-04-02 00:50:31.500	0.5
50	Spectrogram 1	1	3075.7	3077.7	50.0	350.0	2009/04/02	0	0.7897494435310364	2009-04-02 00:51:15.700	0.5
51	Spectrogram 1	1	3091.7	3093.7	50.0	350.0	2009/04/02	0	0.9443677067756653	2009-04-02 00:51:31.700	0.5
52	Spectrogram 1	1	3112.2	3114.2	50.0	350.0	2009/04/02	0	0.9691498279571533	2009-04-02 00:51:52.200	0.5
53	Spectrogram 1	1	3128.9	3130.9	50.0	350.0	2009/04/02	0	0.721586287021637	2009-04-02 00:52:08.900	0.5
54	Spectrogram 1	1	3149.5	3151.5	50.0	350.0	2009/04/02	0	0.6008101105690002	2009-04-02 00:52:29.500	0.5
55	Spectrogram 1	1	3201.4	3203.4	50.0	350.0	2009/04/02	0	0.9867702722549438	2009-04-02 00:53:21.400	0.5
56	Spectrogram 1	1	3218.9	3220.9	50.0	350.0	2009/04/02	0	0.9121772050857544	2009-04-02 00:53:38.900	0.5
57	Spectrogram 1	1	3246.3	3248.3	50.0	350.0	2009/04/02	0	0.5701618194580078	2009-04-02 00:54:06.300	0.5
58	Spectrogram 1	1	3288.8	3290.8	50.0	350.0	2009/04/02	0	0.9487316012382507	2009-04-02 00:54:48.800	0.5
59	Spectrogram 1	1	3311.9	3313.9	50.0	350.0	2009/04/02	0	0.98011714220047	2009-04-02 00:55:11.900	0.5
60	Spectrogram 1	1	3404.7	3406.7	50.0	350.0	2009/04/02	0	0.9733853936195374	2009-04-02 00:56:44.700	0.5
61	Spectrogram 1	1	3422.0	3424.0	50.0	350.0	2009/04/02	0	0.7262349724769592	2009-04-02 00:57:02.000	0.5
62	Spectrogram 1	1	3440.3	3442.3	50.0	350.0	2009/04/02	0	0.9956855773925781	2009-04-02 00:57:20.300	0.5
63	Spectrogram 1	1	3480.3	3482.3	50.0	350.0	2009/04/02	0	0.8878042697906494	2009-04-02 00:58:00.300	0.5
64	Spectrogram 1	1	3503.9	3505.9	50.0	350.0	2009/04/02	0	0.5532103180885315	2009-04-02 00:58:23.900	0.5
65	Spectrogram 1	1	3601.1	3603.1	50.0	350.0	2009/04/02	1	0.9973830580711365	2009-04-02 01:00:01.100	0.5
66	Spectrogram 1	1	3605.9	3607.9	50.0	350.0	2009/04/02	1	0.5673776865005493	2009-04-02 01:00:05.900	0.5
67	Spectrogram 1	1	3625.3	3627.3	50.0	350.0	2009/04/02	1	0.9681052565574646	2009-04-02 01:00:25.300	0.5
68	Spectrogram 1	1	3644.0	3646.0	50.0	350.0	2009/04/02	1	0.8546422123908997	2009-04-02 01:00:44.000	0.5
69	Spectrogram 1	1	3689.9	3691.9	50.0	350.0	2009/04/02	1	0.6458543539047241	2009-04-02 01:01:29.900	0.5
70	Spectrogram 1	1	3698.7	3700.7	50.0	350.0	2009/04/02	1	0.989807665348053	2009-04-02 01:01:38.700	0.5
71	Spectrogram 1	1	3774.7	3776.7	50.0	350.0	2009/04/02	1	0.8872944712638855	2009-04-02 01:02:54.700	0.5
72	Spectrogram 1	1	3950.7	3952.7	50.0	350.0	2009/04/02	1	0.9581063389778137	2009-04-02 01:05:50.700	0.5
73	Spectrogram 1	1	3956.9	3958.9	50.0	350.0	2009/04/02	1	0.8407480120658875	2009-04-02 01:05:56.900	0.5
74	Spectrogram 1	1	3960.2	3962.2	50.0	350.0	2009/04/02	1	0.5582383275032043	2009-04-02 01:06:00.200	0.5
75	Spectrogram 1	1	3966.4	3968.4	50.0	350.0	2009/04/02	1	0.5703697204589844	2009-04-02 01:06:06.400	0.5
