Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Score	timestamp	Detection threshold
1	Spectrogram 1	1	10.6	12.6	50.0	350.0	2009/03/30	0	0.5008853673934937	2009-03-30 00:00:10.600	0.5
2	Spectrogram 1	1	32.2	34.2	50.0	350.0	2009/03/30	0	0.5444228649139404	2009-03-30 00:00:32.200	0.5
3	Spectrogram 1	1	56.5	58.5	50.0	350.0	2009/03/30	0	0.9082508087158203	2009-03-30 00:00:56.500	0.5
4	Spectrogram 1	1	77.4	79.4	50.0	350.0	2009/03/30	0	0.8486120104789734	2009-03-30 00:01:17.400	0.5
5	Spectrogram 1	1	99.7	101.7	50.0	350.0	2009/03/30	0	0.7589482665061951	2009-03-30 00:01:39.700	0.5
6	Spectrogram 1	1	155.4	157.4	50.0	350.0	2009/03/30	0	0.9455798864364624	2009-03-30 00:02:35.400	0.5
7	Spectrogram 1	1	199.2	201.2	50.0	350.0	2009/03/30	0	0.742347240447998	2009-03-30 00:03:19.200	0.5
8	Spectrogram 1	1	235.0	237.0	50.0	350.0	2009/03/30	0	0.996631920337677	2009-03-30 00:03:55.000	0.5
9	Spectrogram 1	1	304.7	306.7	50.0	350.0	2009/03/30	0	0.9622417688369751	2009-03-30 00:05:04.700	0.5
10	Spectrogram 1	1	359.8	361.8	50.0	350.0	2009/03/30	0	0.5374193787574768	2009-03-30 00:05:59.800	0.5
11	Spectrogram 1	1	425.1	427.1	50.0	350.0	2009/03/30	0	0.97749924659729	2009-03-30 00:07:05.100	0.5
12	Spectrogram 1	1	507.5	509.5	50.0	350.0	2009/03/30	0	0.5501410961151123	2009-03-30 00:08:27.500	0.5
13	Spectrogram 1	1	646.7	648.7	50.0	350.0	2009/03/30	0	0.5202053189277649	2009-03-30 00:10:46.700	0.5
14	Spectrogram 1	1	1077.0	1079.0	50.0	350.0	2009/03/30	0	0.9667472243309021	2009-03-30 00:17:57.000	0.5
15	Spectrogram 1	1	1568.6	1570.6	50.0	350.0	2009/03/30	0	0.7681498527526855	2009-03-30 00:26:08.600	0.5
16	Spectrogram 1	1	1635.4	1637.4	50.0	350.0	2009/03/30	0	0.9457119703292847	2009-03-30 00:27:15.400	0.5
17	Spectrogram 1	1	1650.9	1652.9	50.0	350.0	2009/03/30	0	0.8506092429161072	2009-03-30 00:27:30.900	0.5
18	Spectrogram 1	1	1654.4	1656.4	50.0	350.0	2009/03/30	0	0.6753050684928894	2009-03-30 00:27:34.400	0.5
19	Spectrogram 1	1	2020.2	2022.2	50.0	350.0	2009/03/30	0	0.5680762529373169	2009-03-30 00:33:40.200	0.5
20	Spectrogram 1	1	2087.2	2089.2	50.0	350.0	2009/03/30	0	0.6148602366447449	2009-03-30 00:34:47.200	0.5
21	Spectrogram 1	1	2741.1	2743.1	50.0	350.0	2009/03/30	0	0.5729050040245056	2009-03-30 00:45:41.100	0.5
22	Spectrogram 1	1	3169.8	3171.8	50.0	350.0	2009/03/30	0	0.7775974869728088	2009-03-30 00:52:49.800	0.5
23	Spectrogram 1	1	3232.4	3234.4	50.0	350.0	2009/03/30	0	0.5454691648483276	2009-03-30 00:53:52.400	0.5
24	Spectrogram 1	1	7339.1	7341.1	50.0	350.0	2009/03/30	2	0.5782392024993896	2009-03-30 02:02:19.100	0.5
25	Spectrogram 1	1	7580.2	7582.2	50.0	350.0	2009/03/30	2	0.5260387659072876	2009-03-30 02:06:20.200	0.5
26	Spectrogram 1	1	7781.2	7783.2	50.0	350.0	2009/03/30	2	0.5741719007492065	2009-03-30 02:09:41.200	0.5
27	Spectrogram 1	1	8142.7	8144.7	50.0	350.0	2009/03/30	2	0.6441673636436462	2009-03-30 02:15:42.700	0.5
28	Spectrogram 1	1	8683.7	8685.7	50.0	350.0	2009/03/30	2	0.5400217771530151	2009-03-30 02:24:43.700	0.5
29	Spectrogram 1	1	9162.6	9164.6	50.0	350.0	2009/03/30	2	0.5930104851722717	2009-03-30 02:32:42.600	0.5
30	Spectrogram 1	1	9549.8	9551.8	50.0	350.0	2009/03/30	2	0.6880192160606384	2009-03-30 02:39:09.800	0.5
31	Spectrogram 1	1	9584.5	9586.5	50.0	350.0	2009/03/30	2	0.6310060620307922	2009-03-30 02:39:44.500	0.5
32	Spectrogram 1	1	9759.3	9761.3	50.0	350.0	2009/03/30	2	0.654535174369812	2009-03-30 02:42:39.300	0.5
33	Spectrogram 1	1	9763.7	9765.7	50.0	350.0	2009/03/30	2	0.5100207328796387	2009-03-30 02:42:43.700	0.5
34	Spectrogram 1	1	9784.1	9786.1	50.0	350.0	2009/03/30	2	0.835474967956543	2009-03-30 02:43:04.100	0.5
35	Spectrogram 1	1	10007.5	10009.5	50.0	350.0	2009/03/30	2	0.9655391573905945	2009-03-30 02:46:47.500	0.5
36	Spectrogram 1	1	10037.4	10039.4	50.0	350.0	2009/03/30	2	0.6531016826629639	2009-03-30 02:47:17.400	0.5
37	Spectrogram 1	1	10306.4	10308.4	50.0	350.0	2009/03/30	2	0.545883059501648	2009-03-30 02:51:46.400	0.5
38	Spectrogram 1	1	11025.3	11027.3	50.0	350.0	2009/03/30	3	0.6541399359703064	2009-03-30 03:03:45.300	0.5
