Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Score	timestamp	Detection threshold
1	Spectrogram 1	1	111.3	113.3	50.0	350.0	2009/04/03	0	0.5037972331047058	2009-04-03 00:01:51.300	0.5
2	Spectrogram 1	1	291.2	293.2	50.0	350.0	2009/04/03	0	0.6171758770942688	2009-04-03 00:04:51.200	0.5
3	Spectrogram 1	1	471.3	473.3	50.0	350.0	2009/04/03	0	0.8745695352554321	2009-04-03 00:07:51.300	0.5
4	Spectrogram 1	1	652.6	654.6	50.0	350.0	2009/04/03	0	0.5141682028770447	2009-04-03 00:10:52.600	0.5
5	Spectrogram 1	1	831.9	833.9	50.0	350.0	2009/04/03	0	0.5234463214874268	2009-04-03 00:13:51.900	0.5
6	Spectrogram 1	1	1013.0	1015.0	50.0	350.0	2009/04/03	0	0.5301669836044312	2009-04-03 00:16:53.000	0.5
7	Spectrogram 1	1	1192.4	1194.4	50.0	350.0	2009/04/03	0	0.898110032081604	2009-04-03 00:19:52.400	0.5
8	Spectrogram 1	1	1372.6	1374.6	50.0	350.0	2009/04/03	0	0.7332716584205627	2009-04-03 00:22:52.600	0.5
9	Spectrogram 1	1	1553.7	1555.7	50.0	350.0	2009/04/03	0	0.6467953324317932	2009-04-03 00:25:53.700	0.5
10	Spectrogram 1	1	1733.1	1735.1	50.0	350.0	2009/04/03	0	0.6728164553642273	2009-04-03 00:28:53.100	0.5
11	Spectrogram 1	1	2093.5	2095.5	50.0	350.0	2009/04/03	0	0.6140007972717285	2009-04-03 00:34:53.500	0.5
12	Spectrogram 1	1	2274.6	2276.6	50.0	350.0	2009/04/03	0	0.6081844568252563	2009-04-03 00:37:54.600	0.5
13	Spectrogram 1	1	2341.6	2343.6	50.0	350.0	2009/04/03	0	0.5740460157394409	2009-04-03 00:39:01.600	0.5
14	Spectrogram 1	1	2360.2	2362.2	50.0	350.0	2009/04/03	0	0.9749231338500977	2009-04-03 00:39:20.200	0.5
15	Spectrogram 1	1	2454.9	2456.9	50.0	350.0	2009/04/03	0	0.6586927771568298	2009-04-03 00:40:54.900	0.5
16	Spectrogram 1	1	2622.9	2624.9	50.0	350.0	2009/04/03	0	0.9175857901573181	2009-04-03 00:43:42.900	0.5
17	Spectrogram 1	1	2634.2	2636.2	50.0	350.0	2009/04/03	0	0.5783309936523438	2009-04-03 00:43:54.200	0.5
18	Spectrogram 1	1	2814.4	2816.4	50.0	350.0	2009/04/03	0	0.5738290548324585	2009-04-03 00:46:54.400	0.5
19	Spectrogram 1	1	2995.6	2997.6	50.0	350.0	2009/04/03	0	0.7186468243598938	2009-04-03 00:49:55.600	0.5
20	Spectrogram 1	1	3000.5	3002.5	50.0	350.0	2009/04/03	0	0.5201207995414734	2009-04-03 00:50:00.500	0.5
21	Spectrogram 1	1	3075.7	3077.7	50.0	350.0	2009/04/03	0	0.9144471883773804	2009-04-03 00:51:15.700	0.5
22	Spectrogram 1	1	3355.1	3357.1	50.0	350.0	2009/04/03	0	0.6288855075836182	2009-04-03 00:55:55.100	0.5
23	Spectrogram 1	1	3535.4	3537.4	50.0	350.0	2009/04/03	0	0.5291199088096619	2009-04-03 00:58:55.400	0.5
