Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),SNR,Score
1,Spectrogram 1,10,74.13106659,75.3878386,106.7251462,247.0760234,0.953923,1.294487
2,Spectrogram 1,10,186.4827878,187.8874153,97.95321637,244.1520468,4.732808,4.49825
3,Spectrogram 1,10,229.5457111,230.5806998,80.40935673,214.9122807,2.103371,2.797475
4,Spectrogram 1,10,224.7404063,225.8862867,97.95321637,220.7602339,0.670351,0.097514
5,Spectrogram 1,10,299.2226298,300.4424379,80.40935673,250,4.033813,4.054192
6,Spectrogram 1,10,347.4789786,348.4400395,89.18128655,206.1403509,0.706672,1.232401
7,Spectrogram 1,10,419.7064052,420.9631772,83.33333333,279.2397661,4.484777,5.090924
8,Spectrogram 1,10,494.5767494,495.9074492,83.33333333,200.2923977,5.512115,6.455137
9,Spectrogram 1,10,634.0045147,635.5200339,65.78947368,229.5321637,6.263788,5.807019
10,Spectrogram 1,10,627.2031603,628.2751129,54.09356725,211.9883041,2.361316,2.159022
11,Spectrogram 1,10,643.2824492,644.6870767,59.94152047,188.5964912,4.483997,5.02016
12,Spectrogram 1,10,1076.166479,1077.497178,83.33333333,223.6842105,0.455292,1.144715
13,Spectrogram 1,10,1135.937077,1136.935102,59.94152047,299.7076023,7.92478,8.505528
14,Spectrogram 1,10,1130.35553,1131.427483,74.56140351,203.2163743,1.688579,1.642595
15,Spectrogram 1,10,1196.835073,1198.387556,59.94152047,267.5438596,4.423783,5.184763
16,Spectrogram 1,10,1243.520457,1245.146868,112.5730994,197.3684211,5.23231,5.285919
17,Spectrogram 1,10,1337.963177,1339.182985,59.94152047,179.8245614,1.093093,0.802734
18,Spectrogram 1,10,1622.4557,1623.60158,80.40935673,226.6081871,5.312713,5.967602
19,Spectrogram 1,10,1830.839588,1831.948505,65.78947368,214.9122807,10.170534,14.013161
20,Spectrogram 1,10,1868.210073,1869.614701,77.48538012,171.0526316,0.72918,0.505362
21,Spectrogram 1,10,1941.250705,1942.470514,51.16959064,209.0643275,9.393331,9.648124
22,Spectrogram 1,10,1963.00395,1964.038939,100.877193,232.4561404,0.912478,0.923835
23,Spectrogram 1,10,2102.838318,2104.09509,86.25730994,244.1520468,4.971996,4.657682
25,Spectrogram 1,10,2459.743087,2460.667184,68.71345029,194.4444444,3.365179,3.239281
26,Spectrogram 1,10,2663.561936,2664.486033,68.71345029,179.8245614,6.044219,6.120609
27,Spectrogram 1,10,2688.826749,2689.898702,77.48538012,206.1403509,7.503492,8.185671
28,Spectrogram 1,10,2718.046699,2719.303471,86.25730994,185.6725146,3.023772,3.476378
29,Spectrogram 1,10,2817.331687,2818.662387,57.01754386,194.4444444,6.232947,6.708445
30,Spectrogram 1,10,2882.073928,2883.367664,100.877193,214.9122807,8.327753,7.721263
31,Spectrogram 1,10,3031.001411,3032.147291,71.6374269,214.9122807,8.572205,8.45766
32,Spectrogram 1,10,3132.836907,3134.537246,51.16959064,191.5204678,11.617336,11.602375
33,Spectrogram 1,10,3219.794441,3221.162105,65.78947368,217.8362573,12.76545,12.76498
34,Spectrogram 1,10,3818.923533,3819.84763,71.6374269,173.9766082,0.413115,0.631756
35,Spectrogram 1,10,4639.429317,4640.50127,80.40935673,211.9883041,1.193376,1.411743
36,Spectrogram 1,10,4632.258324,4633.995626,121.3450292,320.1754386,-0.112442,-0.096569
37,Spectrogram 1,10,5221.610468,5222.830277,124.2690058,229.5321637,2.69683,2.627169
38,Spectrogram 1,10,5329.064475,5330.173392,65.78947368,194.4444444,2.348345,2.548325
39,Spectrogram 1,10,5819.279486,5820.536258,71.6374269,223.6842105,2.263554,2.424273
40,Spectrogram 1,10,5879.438205,5880.768905,86.25730994,200.2923977,2.52226,2.579849
41,Spectrogram 1,10,6043.483916,6044.85158,80.40935673,241.2280702,7.473827,8.033842
42,Spectrogram 1,10,6101.350875,6102.940322,112.5730994,247.0760234,1.744644,1.985875
43,Spectrogram 1,10,6446.556574,6447.961202,51.16959064,179.8245614,1.447781,1.067838
44,Spectrogram 1,10,6918.455982,6920.045429,45.32163743,171.0526316,0.327444,0.607482
45,Spectrogram 1,10,6936.80855,6938.287105,59.94152047,171.0526316,0.164604,0.504613
46,Spectrogram 1,10,7011.531038,7012.898702,74.56140351,211.9883041,1.324265,0.723177
47,Spectrogram 1,10,7097.194836,7098.488572,65.78947368,226.6081871,0.411667,0.57152
48,Spectrogram 1,10,7084.109622,7085.662105,92.10526316,209.0643275,-0.769695,-0.094815
49,Spectrogram 1,10,7081.152511,7082.446247,71.6374269,206.1403509,-0.035542,0.295788
50,Spectrogram 1,10,7121.12895,7122.64447,71.6374269,209.0643275,0.62702,0.746087
51,Spectrogram 1,10,7202.116817,7203.447517,57.01754386,182.748538,0.844131,1.301591
52,Spectrogram 1,10,7295.927,7297.243369,92.10526316,202.51385,0.415021,1.152247
53,Spectrogram 1,10,7340.343256,7341.673956,80.40935673,220.7602339,1.333972,1.4817
54,Spectrogram 1,10,7379.007477,7380.412105,89.18128655,217.8362573,0.402408,0.524448
55,Spectrogram 1,10,7385.180446,7386.437218,80.40935673,209.0643275,1.04758,1.088973
56,Spectrogram 1,10,7604.801354,7605.910271,62.86549708,220.7602339,0.123829,1.729397
57,Spectrogram 1,10,7784.353414,7785.499295,68.71345029,194.4444444,1.738964,2.282025
58,Spectrogram 1,10,7845.694977,7846.914786,83.33333333,214.9122807,2.288056,2.097697
59,Spectrogram 1,10,7869.813911,7871.144611,80.40935673,200.2923977,1.245693,1.610989
60,Spectrogram 1,10,7918.45838,7919.567297,83.33333333,220.7602339,2.656168,2.854202
61,Spectrogram 1,10,8015.377681,8016.523561,59.94152047,185.6725146,2.474752,2.020343
62,Spectrogram 1,10,8144.289221,8145.656885,71.6374269,217.8362573,1.976796,2.762441
63,Spectrogram 1,10,8219.307421,8220.416337,89.18128655,206.1403509,2.964024,3.888884
64,Spectrogram 1,10,8382.00395,8383.482506,97.95321637,214.9122807,0.740177,0.883721
65,Spectrogram 1,10,8415.289927,8416.546699,89.18128655,232.4561404,0.659398,0.94819
66,Spectrogram 1,10,8517.458098,8518.936653,65.78947368,188.5964912,2.245539,2.595217
